Iteration 0, Error: 1.000000e+00
Iteration 16000, Error: 2.144548e-05
Iteration 16100, Error: 2.127107e-05
Iteration 16200, Error: 2.109802e-05
Iteration 16300, Error: 2.092634e-05
Iteration 16400, Error: 2.075600e-05
Iteration 16500, Error: 2.058701e-05
Iteration 16600, Error: 2.041934e-05
Iteration 16700, Error: 2.025299e-05
Iteration 16800, Error: 2.008796e-05
Iteration 16900, Error: 1.992423e-05
Iteration 17000, Error: 1.976179e-05
Iteration 17100, Error: 1.960064e-05
Iteration 17200, Error: 1.944076e-05
Iteration 17300, Error: 1.928215e-05
Iteration 17400, Error: 1.912480e-05
Iteration 17500, Error: 1.896871e-05
Iteration 17600, Error: 1.881385e-05
Iteration 17700, Error: 1.866022e-05
Iteration 17800, Error: 1.850783e-05
Iteration 17900, Error: 1.835664e-05
Iteration 18000, Error: 1.820667e-05
Iteration 18100, Error: 1.805789e-05
Iteration 18200, Error: 1.791030e-05
Iteration 18300, Error: 1.776390e-05
Iteration 18400, Error: 1.761867e-05
Iteration 18500, Error: 1.747461e-05
Iteration 18600, Error: 1.733171e-05
Iteration 18700, Error: 1.718995e-05
Iteration 18800, Error: 1.704934e-05
Iteration 18900, Error: 1.690986e-05
Iteration 19000, Error: 1.677151e-05
Iteration 19100, Error: 1.663428e-05
Iteration 19200, Error: 1.649816e-05
Iteration 19300, Error: 1.636313e-05
Iteration 19400, Error: 1.622921e-05
Iteration 19500, Error: 1.609637e-05
Iteration 19600, Error: 1.596460e-05
Iteration 19700, Error: 1.583391e-05
Iteration 19800, Error: 1.570428e-05
Iteration 19900, Error: 1.557571e-05
Iteration 20000, Error: 1.544819e-05
Iteration 20100, Error: 1.532171e-05
Iteration 20200, Error: 1.519626e-05
Iteration 20300, Error: 1.507183e-05
Iteration 20400, Error: 1.494843e-05
Iteration 20500, Error: 1.482603e-05
Iteration 20600, Error: 1.470464e-05
Iteration 20700, Error: 1.458424e-05
Iteration 20800, Error: 1.446484e-05
Iteration 20900, Error: 1.434641e-05
Iteration 21000, Error: 1.422896e-05
Iteration 21100, Error: 1.411247e-05
Iteration 21200, Error: 1.399695e-05
Iteration 21300, Error: 1.388237e-05
Iteration 21400, Error: 1.376875e-05
Iteration 21500, Error: 1.365606e-05
Iteration 21600, Error: 1.354430e-05
Iteration 21700, Error: 1.343347e-05
Iteration 21800, Error: 1.332355e-05
Iteration 21900, Error: 1.321455e-05
Iteration 22000, Error: 1.310645e-05
Iteration 22100, Error: 1.299924e-05
Iteration 22200, Error: 1.289293e-05
Iteration 22300, Error: 1.278750e-05
Iteration 22400, Error: 1.268294e-05
Iteration 22500, Error: 1.257926e-05
Iteration 22600, Error: 1.247644e-05
Iteration 22700, Error: 1.237447e-05
Iteration 22800, Error: 1.227336e-05
Iteration 22900, Error: 1.217309e-05
Iteration 23000, Error: 1.207365e-05
Iteration 23100, Error: 1.197505e-05
Iteration 23200, Error: 1.187727e-05
Iteration 23300, Error: 1.178031e-05
Iteration 23400, Error: 1.168416e-05
Iteration 23500, Error: 1.158881e-05
Iteration 23600, Error: 1.149426e-05
Iteration 23700, Error: 1.140051e-05
Iteration 23800, Error: 1.130754e-05
Iteration 23900, Error: 1.121535e-05
Iteration 24000, Error: 1.112393e-05
Iteration 24100, Error: 1.103328e-05
Iteration 24200, Error: 1.094340e-05
Iteration 24300, Error: 1.085426e-05
Iteration 24400, Error: 1.076588e-05
Iteration 24500, Error: 1.067824e-05
Iteration 24600, Error: 1.059134e-05
Iteration 24700, Error: 1.050517e-05
Iteration 24800, Error: 1.041973e-05
Iteration 24900, Error: 1.033500e-05
Iteration 25000, Error: 1.025099e-05
Iteration 25100, Error: 1.016769e-05
Iteration 25200, Error: 1.008509e-05
Iteration 25300, Error: 1.000319e-05
Iteration 25400, Error: 9.921980e-06
Iteration 25500, Error: 9.841455e-06
Iteration 25600, Error: 9.761610e-06
Iteration 25700, Error: 9.682439e-06
Iteration 25800, Error: 9.603938e-06
Iteration 25900, Error: 9.526100e-06
Iteration 26000, Error: 9.448920e-06
Iteration 26100, Error: 9.372393e-06
Iteration 26200, Error: 9.296513e-06
Iteration 26300, Error: 9.221275e-06
Iteration 26400, Error: 9.146675e-06
Iteration 26500, Error: 9.072705e-06
Iteration 26600, Error: 8.999362e-06
Iteration 26700, Error: 8.926640e-06
Iteration 26800, Error: 8.854534e-06
Iteration 26900, Error: 8.783039e-06
Iteration 27000, Error: 8.712149e-06
Iteration 27100, Error: 8.641861e-06
Iteration 27200, Error: 8.572168e-06
Iteration 27300, Error: 8.503066e-06
Iteration 27400, Error: 8.434549e-06
Iteration 27500, Error: 8.366614e-06
Iteration 27600, Error: 8.299254e-06
Iteration 27700, Error: 8.232466e-06
Iteration 27800, Error: 8.166244e-06
Iteration 27900, Error: 8.100584e-06
Iteration 28000, Error: 8.035481e-06
Iteration 28100, Error: 7.970930e-06
Iteration 28200, Error: 7.906927e-06
Iteration 28300, Error: 7.843466e-06
Iteration 28400, Error: 7.780544e-06
Iteration 28500, Error: 7.718156e-06
Iteration 28600, Error: 7.656297e-06
Iteration 28700, Error: 7.594963e-06
Iteration 28800, Error: 7.534149e-06
Iteration 28900, Error: 7.473851e-06
Iteration 29000, Error: 7.414065e-06
Iteration 29100, Error: 7.354786e-06
Iteration 29200, Error: 7.296009e-06
